agent,season,seed,roi_pct,unit_roi_pct,n_bets,n_wins,strike_rate,total_staked,final_bankroll,ai_vetoes,ai_passes,ai_upscales
ML-only,2425,42,-6.999999999999995,-100.0,7,0,0.0,70000.0,930000.0,0,0,0
ML-only,2425,43,-7.9999999999999964,-100.0,8,0,0.0,80000.0,920000.0,0,0,0
ML-only,2425,44,-6.999999999999995,-100.0,7,0,0.0,70000.0,930000.0,0,0,0
ML-only,2425,45,-6.000000000000005,-100.0,6,0,0.0,60000.0,940000.0,0,0,0
ML-only,2425,46,-7.9999999999999964,-100.0,8,0,0.0,80000.0,920000.0,0,0,0
ML-only,2526,42,-5.000000000000004,-100.0,5,0,0.0,50000.0,950000.0,0,0,0
ML-only,2526,43,-5.000000000000004,-100.0,5,0,0.0,50000.0,950000.0,0,0,0
ML-only,2526,44,-5.000000000000004,-100.0,5,0,0.0,50000.0,950000.0,0,0,0
ML-only,2526,45,-5.000000000000004,-100.0,5,0,0.0,50000.0,950000.0,0,0,0
ML-only,2526,46,-5.000000000000004,-100.0,5,0,0.0,50000.0,950000.0,0,0,0
AI+ML,2425,42,0.8299152000000198,20.36794650978011,10,5,0.5,40746.14,1008299.1520000001,54,10,0
AI+ML,2425,43,0.7155870000000064,18.608043158130705,10,5,0.5,38455.79,1007155.8700000001,60,10,0
AI+ML,2425,44,0.15718700000000307,4.687700835535805,8,3,0.375,33531.79,1001571.8700000001,56,8,0
AI+ML,2425,45,-1.1522290000000046,-100.00000000000031,2,0,0.0,11522.29,988477.71,27,2,0
AI+ML,2425,46,-1.187029000000006,-100.00000000000031,2,0,0.0,11870.29,988129.71,28,2,0
AI+ML,2526,42,-0.6752829999999932,-99.99999999999937,1,0,0.0,6752.83,993247.17,5,1,0
AI+ML,2526,43,-0.7100829999999947,-99.99999999999942,1,0,0.0,7100.83,992899.17,5,1,0
AI+ML,2526,44,-0.7292829999999917,-99.99999999999943,1,0,0.0,7292.83,992707.17,5,1,0
AI+ML,2526,45,-0.7500829999999903,-99.99999999999945,1,0,0.0,7500.83,992499.17,5,1,0
AI+ML,2526,46,-0.7128829999999975,-99.99999999999942,1,0,0.0,7128.83,992871.17,5,1,0
